age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,age_group,all
26,Private,152452,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,50,United_States,30_and_younger,yes
63,Federal_gov,217994,Some_college,10,Divorced,Exec_managerial,Unmarried,White,Female,0,0,40,United_States,60_and_older,yes
28,Private,184078,HS_grad,9,Divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,30_and_younger,yes
44,Private,156413,Some_college,10,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,44,United_States,30_to_60,yes
29,State_gov,301582,Some_college,10,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,30_and_younger,yes
32,Private,272944,Some_college,10,Never_married,Craft_repair,Not_in_family,White,Female,0,0,40,United_States,30_to_60,yes
22,Private,189203,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Male,0,0,50,United_States,30_and_younger,yes
34,Private,158420,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,70,United_States,30_to_60,yes
75,?,128224,5th_6th,3,Married_civ_spouse,?,Husband,White,Male,0,0,25,United_States,60_and_older,yes
40,Private,167919,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,30_to_60,yes
36,Private,177616,5th_6th,3,Separated,Machine_op_inspct,Not_in_family,White,Female,0,0,40,United_States,30_to_60,yes
38,Private,76878,11th,7,Married_civ_spouse,Craft_repair,Husband,White,Male,5178,0,40,United_States,30_to_60,yes
18,Private,391585,HS_grad,9,Never_married,Machine_op_inspct,Other_relative,White,Female,0,0,40,United_States,30_and_younger,yes
47,Private,185465,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,Black,Male,0,0,40,United_States,30_to_60,yes
35,Private,223514,Bachelors,13,Married_civ_spouse,Adm_clerical,Wife,Black,Female,0,0,40,United_States,30_to_60,yes
31,Private,196791,Prof_school,15,Divorced,Prof_specialty,Not_in_family,White,Female,0,0,45,United_States,30_to_60,yes
36,Private,184659,Some_college,10,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,52,United_States,30_to_60,yes
58,Self_emp_not_inc,35551,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,70,United_States,30_to_60,yes
44,Private,221172,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,0,0,30,United_States,30_to_60,yes
34,Private,88215,Masters,14,Married_civ_spouse,Prof_specialty,Wife,Asian_Pac_Islander,Female,0,0,40,China,30_to_60,yes
44,Local_gov,83286,Masters,14,Married_civ_spouse,Prof_specialty,Wife,White,Female,0,0,40,United_States,30_to_60,yes
47,Federal_gov,197038,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,50,United_States,30_to_60,yes
42,Private,340885,HS_grad,9,Divorced,Farming_fishing,Not_in_family,White,Male,0,0,44,United_States,30_to_60,yes
74,State_gov,88638,Doctorate,16,Never_married,Prof_specialty,Other_relative,White,Female,0,3683,20,United_States,60_and_older,yes
37,Private,103986,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,7688,0,39,United_States,30_to_60,yes
23,Private,171705,HS_grad,9,Never_married,Sales,Unmarried,White,Female,0,0,48,United_States,30_and_younger,yes
55,Private,234125,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,0,0,40,United_States,30_to_60,yes
44,Private,33521,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,30_to_60,yes
21,Private,170108,Some_college,10,Never_married,Other_service,Own_child,White,Male,0,0,40,United_States,30_and_younger,yes
21,?,300812,Some_college,10,Never_married,?,Own_child,White,Male,0,0,30,United_States,30_and_younger,yes
55,Private,189933,Some_college,10,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,84,United_States,30_to_60,yes
21,Private,414812,7th_8th,4,Never_married,Craft_repair,Own_child,White,Male,0,0,40,United_States,30_and_younger,yes
33,Private,155343,HS_grad,9,Never_married,Machine_op_inspct,Unmarried,White,Male,0,0,40,United_States,30_to_60,yes
35,Private,171968,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,30_to_60,yes
45,Private,189890,Assoc_acdm,12,Divorced,Prof_specialty,Unmarried,White,Female,5455,0,38,United_States,30_to_60,yes
36,Private,62346,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,Black,Male,0,0,40,United_States,30_to_60,yes
49,Self_emp_not_inc,219718,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,15024,0,40,United_States,30_to_60,yes
20,?,201680,Some_college,10,Never_married,?,Own_child,White,Male,0,0,35,United_States,30_and_younger,yes
33,Federal_gov,94193,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,0,0,40,United_States,30_to_60,yes
38,Federal_gov,190895,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,?,30_to_60,yes
18,Private,198614,11th,7,Never_married,Sales,Own_child,Black,Female,0,0,8,United_States,30_and_younger,yes
43,Private,178417,Bachelors,13,Divorced,Prof_specialty,Not_in_family,White,Male,0,0,40,United_States,30_to_60,yes
48,Self_emp_not_inc,108557,Some_college,10,Divorced,Sales,Not_in_family,White,Female,3325,0,60,United_States,30_to_60,yes
43,Self_emp_inc,150533,Assoc_voc,11,Married_civ_spouse,Exec_managerial,Other_relative,White,Male,0,0,50,United_States,30_to_60,yes
45,Federal_gov,162410,Some_college,10,Widowed,Tech_support,Not_in_family,White,Female,0,0,45,United_States,30_to_60,yes
43,Private,162108,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,30_to_60,yes
54,Private,172962,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,30_to_60,yes
29,Private,289960,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,48,United_States,30_and_younger,yes
41,Private,200652,9th,5,Divorced,Other_service,Other_relative,White,Female,0,0,35,United_States,30_to_60,yes
25,Private,209970,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,40,United_States,30_and_younger,yes
37,Private,154210,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,Hong,30_to_60,yes
25,Private,313930,11th,7,Never_married,Craft_repair,Not_in_family,White,Male,0,0,40,Mexico,30_and_younger,yes
22,Private,191342,Bachelors,13,Never_married,Sales,Own_child,Asian_Pac_Islander,Male,0,0,50,Taiwan,30_and_younger,yes
17,Private,244602,12th,8,Never_married,Other_service,Own_child,White,Male,0,0,15,United_States,30_and_younger,yes
54,Private,225599,Masters,14,Married_civ_spouse,Prof_specialty,Husband,Asian_Pac_Islander,Male,7298,0,40,India,30_to_60,yes
20,Federal_gov,119156,HS_grad,9,Never_married,Adm_clerical,Other_relative,White,Male,0,0,20,United_States,30_and_younger,yes
24,Private,211391,10th,6,Never_married,Sales,Not_in_family,White,Female,0,0,15,United_States,30_and_younger,yes
28,State_gov,89564,Bachelors,13,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,50,United_States,30_and_younger,yes
31,State_gov,1033222,Some_college,10,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,30_to_60,yes
68,?,29240,HS_grad,9,Widowed,?,Not_in_family,White,Female,0,0,12,United_States,60_and_older,yes
23,Private,189203,HS_grad,9,Never_married,Sales,Not_in_family,White,Male,0,0,40,United_States,30_and_younger,yes
34,Private,300681,Some_college,10,Married_civ_spouse,Prof_specialty,Husband,Black,Male,0,0,40,Jamaica,30_to_60,yes
35,Private,40135,HS_grad,9,Never_married,Other_service,Own_child,White,Male,0,0,30,United_States,30_to_60,yes
66,Private,28367,Bachelors,13,Married_civ_spouse,Priv_house_serv,Other_relative,White,Male,0,0,99,United_States,60_and_older,yes
33,Private,256062,Some_college,10,Never_married,Adm_clerical,Unmarried,White,Female,0,0,35,Puerto_Rico,30_to_60,yes
46,Private,177114,Assoc_acdm,12,Widowed,Prof_specialty,Unmarried,White,Female,0,0,27,United_States,30_to_60,yes
21,Private,83704,12th,8,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,30_and_younger,yes
43,Private,152617,Some_college,10,Divorced,Adm_clerical,Own_child,White,Female,0,0,40,United_States,30_to_60,yes
19,?,57329,Some_college,10,Never_married,?,Own_child,White,Female,0,0,30,Japan,30_and_younger,yes
36,Private,248445,HS_grad,9,Separated,Transport_moving,Other_relative,White,Male,0,0,60,Mexico,30_to_60,yes
23,Private,460046,HS_grad,9,Separated,Exec_managerial,Unmarried,White,Female,0,0,42,United_States,30_and_younger,yes
31,Local_gov,176185,Bachelors,13,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,4064,0,40,?,30_to_60,yes
42,Self_emp_not_inc,206066,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,65,United_States,30_to_60,yes
36,Self_emp_not_inc,343721,Doctorate,16,Never_married,Prof_specialty,Not_in_family,White,Male,0,0,30,?,30_to_60,yes
34,Private,153614,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,45,United_States,30_to_60,yes
