Person_ID,Sex_Code_Text,Ethnic_Code_Text,LegalStatus,CustodyStatus,MaritalStatus,RawScore,DecileScore
50844,Male,Caucasian,Pretrial,Jail Inmate,Single,-2.08,4
50844,Male,Caucasian,Pretrial,Jail Inmate,Single,-1.06,2
50844,Male,Caucasian,Pretrial,Jail Inmate,Single,15.0,1
50848,Male,Caucasian,Pretrial,Jail Inmate,Married,-2.84,2
50848,Male,Caucasian,Pretrial,Jail Inmate,Married,-1.5,1
50848,Male,Caucasian,Pretrial,Jail Inmate,Married,19.0,3
50855,Male,African-American,Pretrial,Jail Inmate,Single,-1.2,8
50855,Male,African-American,Pretrial,Jail Inmate,Single,0.18,8
50855,Male,African-American,Pretrial,Jail Inmate,Single,13.0,1
50850,Female,African-American,Pretrial,Jail Inmate,Significant Other,-1.29,7
50850,Female,African-American,Pretrial,Jail Inmate,Significant Other,-0.53,6
50850,Female,African-American,Pretrial,Jail Inmate,Significant Other,11.0,1
50839,Female,African-American,Pretrial,Jail Inmate,Single,-2.9,2
50839,Female,African-American,Pretrial,Jail Inmate,Single,-1.55,2
50839,Female,African-American,Pretrial,Jail Inmate,Single,16.0,2
50852,Male,Hispanic,Pretrial,Jail Inmate,Single,-1.33,7
50852,Male,Hispanic,Pretrial,Jail Inmate,Single,0.71,10
50852,Male,Hispanic,Pretrial,Jail Inmate,Single,24.0,6
50840,Female,Caucasian,Pretrial,Jail Inmate,Single,-3.01,1
50840,Female,Caucasian,Pretrial,Jail Inmate,Single,-1.74,1
50840,Female,Caucasian,Pretrial,Jail Inmate,Single,19.0,3
50853,Male,African-American,Pretrial,Jail Inmate,Single,-1.44,7
50853,Male,African-American,Pretrial,Jail Inmate,Single,0.38,9
50853,Male,African-American,Pretrial,Jail Inmate,Single,20.0,3
50847,Male,Other,Pretrial,Jail Inmate,Married,-3.03,1
50847,Male,Other,Pretrial,Jail Inmate,Married,-1.21,2
50847,Male,Other,Pretrial,Jail Inmate,Married,16.0,2
