Transaction_ID,Device_Type,Transaction_Distance,Transaction_Amount,Is_Weekend,Fraud_Label
33553,Laptop,883.17,39.79,0,0
9427,Mobile,2203.36,1.19,0,1
199,Tablet,1909.29,28.96,0,1
12447,Tablet,1311.86,254.32,0,1
39489,Mobile,966.98,31.28,1,1
42724,Laptop,1725.64,168.55,0,0
10822,Tablet,3757.19,3.79,0,0
49498,Tablet,1764.66,7.08,0,1
4144,Tablet,550.38,34.25,1,0
36958,Mobile,720.91,16.24,0,0
43106,Laptop,292.36,367.5,0,0
38695,Laptop,3993.62,50.44,0,0
6188,Laptop,3721.54,55.5,0,1
1414,Mobile,1061.27,54.09,0,0
18471,Tablet,762.21,9.66,1,0
29282,Laptop,3378.44,64.78,0,0
15177,Tablet,395.36,37.11,1,0
34304,Laptop,2074.77,1.58,0,0
12609,Tablet,2159.31,178.56,1,1
12144,Tablet,4436.61,19.37,0,0
6113,Mobile,633.99,22.02,1,0
15908,Mobile,4723.22,203.97,1,1
821,Tablet,625.67,55.35,1,0
15118,Mobile,3402.37,17.17,0,0
13466,Mobile,3956.54,72.33,1,1
26497,Mobile,3935.53,188.75,0,0
42111,Tablet,4963.49,2.61,0,0
30188,Tablet,4045.87,195.76,1,0
37237,Laptop,1819.59,8.06,0,1
33109,Laptop,4779.55,73.34,0,0
36480,Mobile,2772.48,9.82,0,1
24148,Laptop,1947.0,197.21,0,1
5503,Mobile,1031.7,56.45,0,0
3918,Mobile,1548.07,0.32,1,0
38478,Laptop,3878.08,63.83,0,0
21123,Laptop,3055.68,147.71,0,0
49717,Laptop,3424.04,127.57,1,0
42294,Tablet,840.45,15.24,0,0
47609,Laptop,4530.61,80.4,0,1
11076,Tablet,2351.65,3.13,0,0
41514,Mobile,3951.42,9.53,1,0
22062,Tablet,1199.1,24.73,1,0
9413,Tablet,4183.86,138.21,0,0
38340,Mobile,4940.9,39.63,0,1
30263,Mobile,1296.27,11.77,1,1
41252,Mobile,665.43,129.22,0,0
14644,Tablet,142.32,13.36,0,0
26335,Mobile,4510.4,272.93,0,0
28102,Mobile,2506.35,23.69,0,0
17523,Tablet,3089.62,70.81,1,0
24712,Mobile,817.02,22.63,1,0
40485,Mobile,4627.43,92.27,0,1
3850,Tablet,229.77,112.72,0,0
40040,Mobile,3352.98,213.77,1,0
15267,Laptop,1855.93,3.06,0,0
49146,Mobile,4722.91,308.73,0,0
30001,Tablet,1607.61,18.98,0,1
45926,Tablet,2141.19,38.1,0,0
43824,Laptop,3623.95,69.78,1,1
17240,Mobile,3869.54,29.6,0,0
4892,Tablet,736.9,231.0,0,1
725,Mobile,2541.13,24.48,0,0
22949,Mobile,7.01,237.11,1,0
34657,Laptop,1700.82,306.6,1,0
37213,Laptop,2254.22,29.72,0,0
20304,Tablet,1379.33,124.88,0,0
15269,Mobile,3061.09,27.92,0,0
22367,Mobile,3093.97,34.39,0,0
42684,Mobile,1498.03,95.05,0,0
46734,Laptop,4265.72,31.7,0,0
11732,Tablet,4856.51,191.97,0,0
18619,Mobile,13.98,44.07,0,0
48492,Tablet,3408.27,25.38,0,0
26803,Mobile,2684.63,394.62,0,0
44305,Mobile,3572.45,63.37,0,0
47522,Mobile,4184.27,16.97,0,0
32207,Laptop,4614.29,363.86,1,0
2530,Laptop,1352.51,106.2,0,0
17746,Laptop,1571.39,70.42,0,0
8270,Tablet,1837.58,21.33,1,0
15079,Laptop,3717.63,64.23,0,0
13624,Tablet,2015.46,298.9,0,1
30638,Mobile,146.07,173.68,0,1
30440,Tablet,4787.71,126.92,0,1
36056,Mobile,620.67,40.64,0,0
42651,Tablet,1729.86,12.87,1,0
36803,Mobile,2958.68,3.1,0,1
48224,Tablet,8.34,31.27,1,0
29226,Tablet,3686.61,77.02,0,0
5633,Mobile,307.19,9.21,0,0
5987,Laptop,1674.43,24.95,1,0
48063,Laptop,417.64,48.03,0,0
1812,Tablet,2672.02,31.32,1,0
27578,Mobile,1388.4,60.8,1,0
16823,Tablet,743.79,98.82,0,0
3928,Tablet,2716.25,32.32,0,0
37286,Mobile,4996.91,174.45,1,0
25045,Mobile,3099.26,109.35,0,0
15727,Tablet,205.3,22.51,1,0
29600,Laptop,1550.67,35.93,0,0
10430,Tablet,1603.64,282.59,0,1
25768,Tablet,1300.58,263.8,0,1
29103,Mobile,2367.83,58.79,1,0
36537,Tablet,2379.56,124.74,0,0
39328,Tablet,2898.69,48.92,1,1
35539,Tablet,3639.03,4.97,0,0
28075,Mobile,1043.77,50.4,0,0
17840,Tablet,3326.17,180.62,0,0
27802,Tablet,2864.87,140.6,0,0
7682,Laptop,2273.51,231.35,1,0
24279,Mobile,1046.9,212.22,0,1
33070,Tablet,4908.34,147.84,0,0
35557,Tablet,2653.12,158.85,0,0
37189,Laptop,2594.13,4.43,1,0
47149,Mobile,4570.28,85.45,0,0
46915,Tablet,3368.55,99.32,1,1
9801,Tablet,4233.75,87.29,1,0
38800,Tablet,4659.45,229.0,0,0
24669,Laptop,3264.92,22.4,1,0
44233,Laptop,4134.17,263.59,0,0
31919,Mobile,4657.46,425.97,1,0
7134,Tablet,4487.33,119.44,0,0
33704,Tablet,1931.13,18.41,0,0
29660,Laptop,3286.0,8.74,0,0
17893,Laptop,2720.75,513.78,0,0
22018,Laptop,3003.21,57.85,0,1
13538,Mobile,4150.25,27.64,0,1
43118,Mobile,366.13,64.61,0,0
36420,Laptop,17.13,106.84,0,0
9405,Tablet,178.6,80.2,1,0
13413,Mobile,961.72,11.91,0,0
6720,Tablet,1798.14,202.75,1,0
15601,Mobile,4623.41,45.05,1,1
44743,Mobile,4500.89,68.08,1,0
31138,Tablet,249.27,38.38,0,1
2729,Laptop,150.73,45.14,0,0
38242,Laptop,768.22,40.68,0,1
29625,Laptop,293.67,28.93,0,0
47894,Mobile,4917.78,211.35,1,1
42090,Tablet,4158.29,221.65,0,1
36399,Laptop,3874.84,203.14,0,1
6244,Laptop,1895.75,77.56,1,0
5545,Tablet,321.41,43.67,0,0
4064,Mobile,1801.72,35.48,0,1
12851,Mobile,1047.08,69.42,0,0
21802,Tablet,242.67,105.88,0,0
41163,Tablet,1523.59,97.23,0,0
6232,Laptop,2165.65,309.46,0,0
3862,Laptop,2567.75,86.97,0,1
35094,Mobile,2290.86,110.75,0,0
40195,Mobile,1895.21,209.18,0,1
39250,Mobile,2730.28,184.5,0,1
6217,Tablet,4423.09,17.04,0,0
36775,Laptop,4849.83,12.13,0,0
42976,Tablet,4578.71,260.47,1,1
48467,Laptop,3548.05,68.1,1,0
14831,Tablet,3879.07,170.02,0,0
30092,Mobile,3278.32,182.66,0,0
8893,Tablet,2829.23,92.96,0,1
6020,Laptop,2908.48,144.37,0,0
46088,Mobile,4814.01,3.54,0,0
15242,Mobile,1674.17,13.26,0,1
45307,Mobile,2490.71,17.99,0,0
26550,Mobile,4957.63,153.67,0,0
6034,Tablet,212.36,70.71,0,0
7905,Laptop,558.31,3.37,0,1
32225,Tablet,2230.31,157.68,1,1
6017,Mobile,302.33,82.06,0,1
21879,Tablet,745.05,5.32,1,1
2791,Mobile,2044.59,119.95,1,0
42605,Laptop,1890.99,117.28,0,0
5823,Tablet,3586.61,181.73,1,0
15387,Mobile,3964.15,62.48,0,1
29561,Tablet,2330.48,40.59,0,0
39475,Tablet,3485.53,112.39,1,0
292,Mobile,801.05,28.15,0,0
16957,Tablet,866.46,117.73,0,0
30860,Laptop,4298.23,15.36,0,0
14073,Mobile,116.07,117.16,0,1
21856,Mobile,3906.3,201.85,0,0
22079,Laptop,3940.39,149.61,1,0
17023,Laptop,3043.38,226.29,0,1
8739,Tablet,2066.62,46.84,1,1
15825,Tablet,150.75,82.54,0,1
2741,Tablet,2912.49,16.98,0,0
18048,Laptop,1575.68,38.75,0,0
49936,Laptop,4906.18,305.14,0,0
17372,Laptop,1119.49,68.78,1,0
22021,Tablet,614.8,49.26,0,1
46364,Tablet,2829.92,5.0,0,1
23537,Laptop,3948.56,0.8,1,0
45499,Mobile,1484.21,29.2,0,0
40185,Laptop,2099.09,170.87,0,0
9613,Mobile,3413.07,45.8,1,0
43281,Tablet,3461.71,77.25,0,0
37891,Mobile,1095.37,70.08,0,0
26178,Mobile,3265.08,27.37,0,1
45892,Mobile,1002.64,62.0,0,0
20933,Tablet,4345.67,33.64,0,1
40971,Laptop,4792.4,32.25,0,0
22224,Tablet,4819.85,287.98,1,0
24381,Mobile,4150.2,266.58,1,1
34855,Mobile,1617.83,66.23,0,1
48577,Mobile,102.83,300.74,0,0
38536,Mobile,4001.3,76.19,1,0
31755,Tablet,4205.45,29.84,1,0
7753,Laptop,1588.39,231.29,1,1
46638,Laptop,985.65,68.44,1,0
43834,Laptop,2924.24,13.19,0,0
26235,Mobile,92.81,102.89,0,0
44229,Tablet,4042.64,177.99,1,0
49596,Tablet,1168.01,120.32,0,0
18552,Laptop,712.35,26.47,0,0
43136,Tablet,92.88,210.98,0,0
36672,Tablet,2927.89,160.58,0,0
