AGENCY,MI,ETHNICITY,GENDER,RATE,HRSWKD,MONTHLY,ANNUAL
101, ,WHITE,FEMALE,0.0,41.0,5979.14,71749.68
241,J,WHITE,MALE,75.9615,29.0,9545.82,114549.84
212,J,WHITE,MALE,89.3516,4.0,1548.76,18585.12
771,T,WHITE,MALE,0.0,20.0,2126.8,25521.6
771,T,WHITE,MALE,0.0,20.0,1991.96,23903.52
771,M,HISPANIC,FEMALE,0.0,22.5,5849.52,70194.24
772,M,HISPANIC,FEMALE,54.28,19.0,4469.05,53628.6
530,R,BLACK,FEMALE,0.0,40.0,3995.81,47949.72
101,S,HISPANIC,FEMALE,0.0,41.0,4962.12,59545.44
101, ,WHITE,MALE,0.0,40.0,7033.95,84407.4
101, ,WHITE,MALE,25.0,1.0,108.33,1299.96
529,A,HISPANIC,MALE,0.0,40.0,6300.0,75600.0
405, ,WHITE,MALE,0.0,40.0,3330.04,39960.48
102, ,WHITE,MALE,0.0,20.0,1358.24,16298.88
537, ,WHITE,MALE,0.0,40.0,6825.0,81900.0
104,L,WHITE,FEMALE,0.0,30.0,9975.01,119700.12
101,L,WHITE,FEMALE,0.0,10.0,7130.0,85560.0
537,L,HISPANIC,FEMALE,0.0,40.0,3535.21,42422.52
104,D,WHITE,MALE,0.0,30.0,7875.0,94500.0
101,D,WHITE,MALE,0.0,10.0,3880.0,46560.0
582,D,BLACK,FEMALE,0.0,40.0,6948.9,83386.8
529,Y,BLACK,FEMALE,0.0,40.0,3547.58,42570.96
771,L,WHITE,MALE,0.0,20.0,2142.08,25704.96
771,L,WHITE,MALE,0.0,20.0,1884.29,22611.48
104,R,WHITE,FEMALE,0.0,30.0,7875.0,94500.0
101,R,WHITE,FEMALE,0.0,10.0,2685.0,32220.0
104,E,WHITE,FEMALE,0.0,30.0,8400.0,100800.0
101,E,WHITE,FEMALE,0.0,10.0,5125.0,61500.0
104,P,WHITE,FEMALE,0.0,30.0,7875.0,94500.0
101,P,WHITE,FEMALE,0.0,10.0,3880.0,46560.0
696,M,BLACK,FEMALE,0.0,40.0,3975.35,47704.2
101,G,HISPANIC,FEMALE,0.0,41.0,4250.72,51008.64
101,N,HISPANIC,FEMALE,0.0,40.0,3550.0,42600.0
101,N,HISPANIC,FEMALE,20.0,1.0,86.66,1039.92
101,D,WHITE,MALE,0.0,35.0,8000.0,96000.0
116,D,WHITE,MALE,0.0,5.0,5250.0,63000.0
530, ,BLACK,FEMALE,0.0,40.0,4066.65,48799.8
530, ,BLACK,FEMALE,0.0,40.0,4252.89,51034.68
696,M,BLACK,FEMALE,0.0,40.0,3972.82,47673.84
771,M,WHITE,FEMALE,0.0,20.0,4809.13,57709.56
772,M,WHITE,FEMALE,0.0,14.0,2851.07,34212.84
101,S,HISPANIC,MALE,0.0,41.0,4386.66,52639.92
101, ,HISPANIC,MALE,0.0,41.0,3976.66,47719.92
696,J,BLACK,FEMALE,0.0,40.0,3755.32,45063.84
102,J,BLACK,FEMALE,0.0,30.0,2036.56,24438.72
529,C,WHITE,MALE,0.0,40.0,4633.96,55607.52
320, ,HISPANIC,FEMALE,0.0,40.0,4093.61,49123.32
454, ,ASIAN,FEMALE,0.0,40.0,9450.0,113400.0
530,S,WHITE,FEMALE,0.0,40.0,5540.62,66487.44
323,W,WHITE,MALE,0.0,40.0,8106.51,97278.12
530,E,WHITE,FEMALE,0.0,40.0,5024.54,60294.48
601, ,WHITE,FEMALE,0.0,40.0,8690.37,104284.44
696,E,WHITE,MALE,0.0,40.0,4778.2,57338.4
529,D,HISPANIC,FEMALE,0.0,40.0,3946.24,47354.88
302,L,WHITE,FEMALE,0.0,40.0,10379.22,124550.64
529,M,BLACK,FEMALE,0.0,40.0,3139.75,37677.0
529, ,HISPANIC,FEMALE,0.0,40.0,5372.4,64468.8
696,D,WHITE,MALE,0.0,40.0,4022.85,48274.2
601,D,WHITE,MALE,0.0,40.0,6479.18,77750.16
304, ,HISPANIC,FEMALE,0.0,40.0,11000.0,132000.0
530,Y,BLACK,FEMALE,0.0,40.0,5321.44,63857.28
551,J,WHITE,MALE,0.0,40.0,4800.0,57600.0
696,U,BLACK,MALE,0.0,40.0,4778.2,57338.4
696,L,BLACK,MALE,0.0,40.0,4673.85,56086.2
529,S,BLACK,FEMALE,0.0,40.0,5094.16,61129.92
320, ,WHITE,FEMALE,0.0,40.0,8773.45,105281.4
601,J,ASIAN,FEMALE,0.0,40.0,8111.25,97335.0
320, ,HISPANIC,FEMALE,0.0,40.0,3816.47,45797.64
455,J,WHITE,MALE,0.0,40.0,10912.41,130948.92
529, ,WHITE,FEMALE,0.0,40.0,7730.17,92762.04
696,D,BLACK,FEMALE,0.0,40.0,4778.2,57338.4
529,W,BLACK,MALE,0.0,40.0,3946.25,47355.0
405,E,WHITE,FEMALE,0.0,40.0,5632.2,67586.4
537, ,HISPANIC,FEMALE,0.0,40.0,3800.0,45600.0
529,D,WHITE,FEMALE,0.0,40.0,7474.22,89690.64
696, ,HISPANIC,MALE,0.0,40.0,5462.7,65552.4
