,ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
0,1,36901,O,173665.47,820540800.0,5-LOW,Clerk#000000951,0,nstructions sleep furiously among 
1,2,78002,O,46929.18,849398400.0,1-URGENT,Clerk#000000880,0," foxes. pending accounts at the pending, silent asymptot"
2,3,123314,F,193846.25,750556800.0,5-LOW,Clerk#000000955,0,sly final accounts boost. carefully regular ideas cajole carefully. depos
3,4,136777,O,32151.78,813369600.0,5-LOW,Clerk#000000124,0,"sits. slyly regular warthogs cajole. regular, regular theodolites acro"
4,5,44485,F,144659.2,775526400.0,5-LOW,Clerk#000000925,0,quickly. bold deposits sleep slyly. packages use slyly
5,6,55624,F,58749.59,698630400.0,4-NOT SPECIFIED,Clerk#000000058,0,"ggle. special, final requests are against the furiously specia"
6,7,39136,O,252004.18,821232000.0,2-HIGH,Clerk#000000470,0,ly special requests 
7,32,130057,O,208660.75,805852800.0,2-HIGH,Clerk#000000616,0,"ise blithely bold, regular requests. quickly unusual dep"
8,33,66958,F,163243.98,751680000.0,3-MEDIUM,Clerk#000000409,0,uriously. furiously final request
9,34,61001,O,58949.67,900979200.0,3-MEDIUM,Clerk#000000223,0,ly final packages. fluffily final deposits wake blithely ideas. spe
10,35,127588,O,253724.56,814406400.0,4-NOT SPECIFIED,Clerk#000000259,0,zzle. carefully enticing deposits nag furio
11,36,115252,O,68289.96,815356800.0,1-URGENT,Clerk#000000358,0, quick packages are blithely. slyly silent accounts wake qu
12,37,86116,F,206680.66,707529600.0,3-MEDIUM,Clerk#000000456,0,kly regular pinto beans. carefully unusual waters cajole never
13,38,124828,O,82500.05,840585600.0,4-NOT SPECIFIED,Clerk#000000604,0,haggle blithely. furiously express ideas haggle blithely furiously regular re
14,39,81763,O,341734.47,843177600.0,3-MEDIUM,Clerk#000000659,0,"ole express, ironic requests: ir"
15,64,32113,F,39414.99,774316800.0,3-MEDIUM,Clerk#000000661,0,wake fluffily. sometimes ironic pinto beans about the dolphin
16,65,16252,P,110643.6,795484800.0,1-URGENT,Clerk#000000632,0,ular requests are blithely pending orbits-- even requests against the deposit
17,66,129200,F,103740.67,759024000.0,5-LOW,Clerk#000000743,0,y pending requests integrate
18,67,56614,O,169405.01,850953600.0,4-NOT SPECIFIED,Clerk#000000547,0,symptotes haggle slyly around the furiously iron
19,68,28547,O,330793.52,892857600.0,3-MEDIUM,Clerk#000000440,0, pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
20,69,84487,F,197689.49,770688000.0,4-NOT SPECIFIED,Clerk#000000330,0, depths atop the slyly thin deposits detect among the furiously silent accou
21,70,64340,F,113534.42,756172800.0,5-LOW,Clerk#000000322,0, carefully ironic request
22,71,3373,O,276992.74,885600000.0,4-NOT SPECIFIED,Clerk#000000271,0, express deposits along the blithely regul
23,96,107779,F,68989.9,766540800.0,2-HIGH,Clerk#000000395,0,oost furiously. pinto
24,97,21061,F,110512.84,728265600.0,3-MEDIUM,Clerk#000000547,0,hang blithely along the regular accounts. furiously even ideas after the
25,98,104480,F,69168.33,780451200.0,1-URGENT,Clerk#000000448,0,c asymptotes. quickly regular packages should have to nag re
26,99,88910,F,112126.95,763516800.0,4-NOT SPECIFIED,Clerk#000000973,0,e carefully ironic packages. pending
27,100,147004,O,187782.63,888624000.0,4-NOT SPECIFIED,Clerk#000000577,0,heodolites detect slyly alongside of the ent
28,101,27998,O,124906.11,827020800.0,3-MEDIUM,Clerk#000000419,0,ding accounts above the slyly final asymptote
29,102,716,O,164529.1,863136000.0,2-HIGH,Clerk#000000596,0, slyly according to the asymptotes. carefully final packages integrate furious
30,103,29101,O,126990.79,835228800.0,4-NOT SPECIFIED,Clerk#000000090,0,ges. carefully unusual instructions haggle quickly regular f
31,128,73957,F,66195.16,708566400.0,1-URGENT,Clerk#000000385,0,ns integrate fluffily. ironic asymptotes after the regular excuses nag around 
32,129,71134,F,261013.14,722131200.0,5-LOW,Clerk#000000859,0,ing tithes. carefully pending deposits boost about the silently express 
33,130,36964,F,189484.12,705283200.0,2-HIGH,Clerk#000000036,0,"le slyly unusual, regular packages? express deposits det"
34,131,92749,F,130464.09,771033600.0,3-MEDIUM,Clerk#000000625,0,after the fluffily special foxes integrate s
35,132,26395,F,144947.21,739756800.0,3-MEDIUM,Clerk#000000488,0,sits are daringly accounts. carefully regular foxes sleep slyly about the
36,133,44000,O,114663.57,880761600.0,1-URGENT,Clerk#000000738,0,usly final asymptotes 
37,134,6199,F,200354.3,704678400.0,4-NOT SPECIFIED,Clerk#000000711,0,lar theodolites boos
38,135,60481,O,213713.99,814233600.0,4-NOT SPECIFIED,Clerk#000000804,0,l platelets use according t
39,160,82495,O,124132.06,850953600.0,4-NOT SPECIFIED,Clerk#000000342,0,thely special sauternes wake slyly of t
40,161,16619,F,34439.93,778291200.0,2-HIGH,Clerk#000000322,0,carefully! special instructions sin
41,162,14116,O,2726.45,799891200.0,3-MEDIUM,Clerk#000000378,0,"nts hinder fluffily ironic instructions. express, express excuses "
42,163,87760,O,202379.28,873417600.0,3-MEDIUM,Clerk#000000379,0,y final packages. final foxes since the quickly even
43,164,779,F,301925.76,719625600.0,5-LOW,Clerk#000000209,0,cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub
44,165,27238,F,188023.67,728352000.0,4-NOT SPECIFIED,Clerk#000000292,0,across the blithely regular accounts. bold
45,166,107812,O,154451.92,810864000.0,2-HIGH,Clerk#000000440,0,"lets. ironic, bold asymptotes kindle"
46,167,119402,F,71124.35,726105600.0,4-NOT SPECIFIED,Clerk#000000731,0,s nag furiously bold excuses. fluffily iron
47,192,82570,O,167668.42,880416000.0,5-LOW,Clerk#000000483,0,y unusual platelets among the final instructions integrate rut
48,193,79061,F,88699.17,744768000.0,1-URGENT,Clerk#000000025,0,the furiously final pin
49,194,61724,F,176707.84,702432000.0,3-MEDIUM,Clerk#000000352,0,"egular requests haggle slyly regular, regular pinto beans. asymptote"
50,195,135421,F,191542.31,757036800.0,3-MEDIUM,Clerk#000000216,0,old forges are furiously sheaves. slyly fi
51,196,64825,F,47095.31,732326400.0,2-HIGH,Clerk#000000988,0,beans boost at the foxes. silent foxes
52,197,32512,P,163700.57,797212800.0,2-HIGH,Clerk#000000969,0,solve quickly about the even braids. carefully express deposits affix care
53,198,110218,O,176189.31,883699200.0,4-NOT SPECIFIED,Clerk#000000331,0,its. carefully ironic requests sleep. furiously express fox
54,199,52970,O,112986.49,826156800.0,2-HIGH,Clerk#000000489,0,g theodolites. special packag
55,224,2476,F,259960.36,771897600.0,4-NOT SPECIFIED,Clerk#000000642,0,r the quickly thin courts. carefully
56,225,33031,P,220441.09,801360000.0,1-URGENT,Clerk#000000177,0,s. blithely ironic accounts wake quickly fluffily special acc
57,226,127466,F,313134.62,731721600.0,2-HIGH,Clerk#000000756,0,s are carefully at the blithely ironic acc
58,227,9883,O,54880.58,815961600.0,5-LOW,Clerk#000000919,0, express instructions. slyly regul
59,228,44078,F,2749.87,730598400.0,1-URGENT,Clerk#000000562,0,es was slyly among the regular foxes. blithely regular dependenci
