id,ethnicity,gender,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
0,White,M,39,3.1,GL,-0.98,0.782738095,1
1,White,M,36,3,GL,0.09,0.735714286,1
2,White,F,30,3.1,MS,-0.35,0.670238095,1
5,Hispanic,F,39,2.2,NE,0.58,0.69702381,1
6,White,M,37,3.4,GL,-1.26,0.786309524,1
7,White,M,30.5,3.6,GL,0.3,0.724107143,1
8,White,F,36,3.6,GL,-0.1,0.792857143,1
9,White,F,37,2.7,NE,-0.12,0.719642857,0
13,White,M,37,2.6,GL,1.53,0.710119048,1
14,White,F,31,3.6,GL,0.34,0.730357143,1
16,White,F,41,3.2,GL,1.53,0.817261905,1
17,White,F,35,3.1,GL,-0.68,0.732738095,1
19,White,M,35,3.2,NE,-0.17,0.742261905,1
21,White,F,35,2.9,NG,-0.42,0.713690476,1
22,White,F,41,2.3,NG,-0.35,0.731547619,1
23,White,F,30.5,3.3,GL,0.85,0.695535714,1
24,White,M,36,3,GL,0.04,0.735714286,1
25,White,F,40,3.9,GL,2.48,0.871428571,1
26,White,F,36,3.4,GL,0.27,0.773809524,1
27,White,F,29,2.7,GL,0.88,0.619642857,1
28,White,F,37,3.2,GL,0.58,0.767261905,1
29,White,F,30,3.1,MS,1.99,0.670238095,1
30,White,F,40,3.1,GL,-0.8,0.795238095,1
31,Asian,F,31,3.1,GL,0.51,0.682738095,1
32,White,M,37,3.6,GL,0.81,0.805357143,1
33,Black,F,29,2.8,NE,-1.03,0.629166667,1
35,White,F,34,2.8,GL,-0.12,0.691666667,1
37,White,F,35,3,NE,-0.61,0.723214286,1
38,White,F,40,3.4,GL,-0.73,0.823809524,1
39,White,F,36,2.6,NE,-0.63,0.697619048,1
40,White,F,29,2.9,MS,-0.02,0.638690476,1
41,White,F,35,2.5,NG,0.02,0.675595238,1
43,White,F,32,3.4,SE,0.65,0.723809524,1
44,White,M,36,2.7,NE,-0.05,0.707142857,1
46,White,F,36,3.3,GL,0.53,0.764285714,1
47,White,F,36,2.5,MS,-1.1,0.688095238,0
49,White,F,38,3.6,GL,1.41,0.817857143,1
